stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"320476872","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","54409.09","","81","","IN-STOCK","N"
"320476827","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","ECOTRONIC GREY","DAHY","","55493.96","","81","","STOCK SWAP","N"
"320476829","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","ECOTRONIC GREY","DAHY","","55493.96","","81","","STOCK SWAP","N"
"320475608","STARIA","US4.V4 STARIA LOAD HEV 2S 1.6T LBACK AT","","CREAMY WHITE","DAHY","","49262.98","","81","DH17853","DEAL PEND","N"
"320469517","I30","PDE.V6 I30 N HATCH PREMIUM 2.0P DCT","","SHADOW GREY","DAHY","","50454.55","","80","","IN-STOCK","N"
"320476864","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","55027.72","","78","","DEMO","N"
"320476869","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","54409.09","","77","","IN-STOCK","N"
"320466525","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","25858.30","","72","DH17724","DEAL PEND","Y"
"320466626","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26038.83","","71","DH17725","DEAL PEND","Y"
"320466628","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26035.09","","71","DH17729","DEAL PEND","Y"
"320466633","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26036.96","","71","DH17726","DEAL PEND","Y"
"320466634","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26035.09","","71","DH17727","DEAL PEND","Y"
"320466636","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26036.96","","71","DH17728","DEAL PEND","Y"
"320479017","KONA","SX2.V3 KONA PRM N LINE SRF 2.0P CVT","","SOULTRONIC ORANGE","DAHY","","42738.16","","68","","DEMO","N"
"320479047","KONA EV","SX2.V3 KONA EV STD RANGE","","ULTIMATE RED","DAHY","","42746.59","","66","","IN-STOCK","N"
"320476681","IONIQ","NE.V7 IONIQ 5 N LINE PRM AWD 84KWH","","ECOTRONIC GREY","DAHY","","77147.73","","66","","STOCK SWAP","N"
"320473387","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26031.35","","66","DH17723","DEAL PEND","Y"
"320473390","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26031.35","","66","DH17722","DEAL PEND","Y"
"320478528","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","PHANTOM BLACK","DAHY","","55090.91","","64","","IN-STOCK","N"
"320476937","TUCSON HEV","NX4.V4 TUCSON ELITE 1.6T HEV 2WD","","AMAZON GRAY","DAHY","","45193.37","","64","DH17856","DEAL PEND","Y"
"320478268","I30 SEDAN","CN7.V4 I30 SEDAN N PREM S.ROOF 2.0P DCT","","ABYSS BLACK","DAHY","","51147.14","","64","","DEMO","N"
"320478617","TUCSON","NX4.V4 TUCSON 2.0P AT 2WD","","AMAZON GREY","DAHY","","36227.27","","63","","IN-STOCK","N"
"320478729","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","AMAZON GRAY","DAHY","","39636.37","","63","","IN-STOCK","N"
"320479326","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","SOULTRONIC ORANGE","DAHY","","45443.96","","63","","STOCK SWAP","N"
"320478727","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","AMAZON GRAY","DAHY","","39636.37","","63","DH17849","DEAL PEND","N"
"320478588","TUCSON","NX4.V4 TUCSON ELITE 2.0P AT 2WD","","PHANTOM BLACK","DAHY","","40772.73","","62","","IN-STOCK","N"
