stock no,age,year,carline,description,reg no,odometer,colour,list price,loc,dest loc,status,open ro/po
"S5025675","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CQ","28909","WHITE","20990.00","DAKI","","IN-STOCK","N"
"S5025664","7","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IM","21491","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025670","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KP","14480","WHITE/CLOTH","23990.00","CRKU","","LOANER","N"
"S5025680","6","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AZ2SK","21150","WHITE/BLACK","22990.00","S52USED","","IN-STOCK","N"
"S5025681","6","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FL","22405","WHITE","22990.00","S52USED","","IN-STOCK","N"
"S5025682","6","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CP","20895","WHITE/BLACK","22990.00","S52USED","","IN-STOCK","N"
"S5025677","6","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FQ","17009","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025701","5","18","I30","PD2 MY18 ACTIVE HATCHBACK 5DR SA 6SP 2.0I","2FV7IR","71435","WHITE/BLACK","19990.00","DAKI","","DEAL PEND","Y"
"S5025706","3","09","I30","FD MY09 SX CW WAGON 5DR AUTO 4SP 1.6DT (OCT )","XZF345","153948","BLACK/CLOTH","0.00","DANDUSED","","SOLD","N"
"S5025708","3","19","ILOAD","TQ4 MY20 VAN 5DR AUTO 5SP 1098KG 2.5DT","2FS7LK","257000","WHITE/CLOTH","0.00","DANDUSED","","SOLD","N"
"S5025709","3","19","ILOAD","TQ4 MY20 VAN 5DR AUTO 5SP 1098KG 2.5DT","2FS7LJ","256000","WHITE/CLOTH","","DANDUSED","","SOLD","N"
"S5025724","2","18","ACCENT","RB6 MY18 SPORT HATCHBACK 5DR SA 6SP 1.6I","1MH5JR","78618","RED/CLOTH","15990.00","CRKU","","IN-STOCK","N"
"S5025733","2","16","I30","GD4 SERIES II MY17 ACTIVE HBK 5DR SA 6SP 1.8I","1XZ9TN","96175","BLUE/CLOTH","","DANDUSED","","IN-STOCK","N"
"S5025713","2","22","I30","PD.V4 MY22 ELITE HATCHBACK 5DR SA 6SP 2.0I","2AA7YY","78601","WHITE/BLACK","23990.00","CRKU","","IN-STOCK","N"
"S5025712","2","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KR","14460","WHITE/BLACK","22990.00","CRKU","","LOANER","N"
"S5025739","1","18","KONA","OS.2 MY19 ELITE WAG 5DR SA 6SP 447KG 2.0I","N4NNYS","159774","BLUE/BLACK","0.00","CRKU","","WHOLESALE","N"
"S5025750","0","14","I30","GD2 MY14 TROPHY HATCHBACK 5DR SA 6SP 1.8I","1BQ5EE","169835","SILVER OR CHROME/LEATHER","","DANDUSED","","WHOLESALE","N"
